tt/I,layer/I,phimin/D,phimax/D,zmin_cm/D,zmax_cm/D
7,18,-3.076467,3.096746,25.0206,70.2557
7,19,-3.102281,3.102276,32.6742,87.7541
7,20,-3.103684,3.103690,37.3960,93.9771
7,21,-3.108762,3.108767,44.9935,110.0950
7,22,-3.108762,3.108767,55.2653,110.0950
8,5,-1.791765,-0.564430,-57.1505,-10.6603
8,6,-1.710419,-0.653554,-83.2020,-19.7419
8,7,-1.756567,-0.641981,-115.0000,-31.5520
8,8,-1.638922,-0.717273,-116.9460,-48.8934
8,9,-1.673851,-0.658179,-116.9460,-68.3777
8,10,-1.778293,-0.618448,-116.9460,-77.4214
8,18,-3.108762,3.108767,60.2304,110.0950
8,19,-3.108762,3.108767,67.2072,110.0950
8,20,-3.108762,3.108767,83.9403,110.0950
8,21,-3.108762,3.108767,100.0545,110.0950
9,5,-1.006367,0.220969,-57.1505,-10.6603
9,6,-0.917242,0.139623,-83.2020,-19.7419
9,7,-0.836416,0.097218,-115.0000,-31.5520
9,8,-0.853524,0.068125,-116.9460,-48.8934
9,9,-0.963287,0.152554,-116.9460,-68.3777
9,10,-0.951558,0.208287,-116.9460,-77.4214
9,18,-2.558983,-1.368003,60.2304,110.0950
9,19,-2.558983,-1.368003,67.2072,110.0950
9,20,-2.558983,-1.368003,83.9403,110.0950
9,21,-2.558983,-1.368003,100.0545,110.0950
10,5,-0.220969,1.006367,-57.1505,-10.6603
10,6,-0.139623,0.917242,-83.2020,-19.7419
10,7,-0.097218,0.836416,-115.0000,-31.5520
10,8,-0.068125,0.853524,-116.9460,-48.8934
10,9,-0.152554,0.963287,-116.9460,-68.3777
10,10,-0.208287,0.951558,-116.9460,-77.4214
10,18,-1.773585,-0.582605,60.2304,110.0950
10,19,-1.773585,-0.582605,67.2072,110.0950
10,20,-1.773585,-0.582605,83.9403,110.0950
10,21,-1.773585,-0.582605,100.0545,110.0950
11,5,0.564430,1.791765,-57.1505,-10.6603
11,6,0.653554,1.710419,-83.2020,-19.7419
11,7,0.641981,1.756567,-115.0000,-31.5520
11,8,0.717273,1.638922,-116.9460,-48.8934
11,9,0.658179,1.673851,-116.9460,-68.3777
11,10,0.618448,1.778293,-116.9460,-77.4214
11,18,-0.988187,0.202793,60.2304,110.0950
11,19,-0.988187,0.202793,67.2072,110.0950
11,20,-0.988187,0.202793,83.9403,110.0950
11,21,-0.988187,0.202793,100.0545,110.0950
12,5,1.349827,2.577163,-57.1505,-10.6603
12,6,1.431173,2.488038,-83.2020,-19.7419
12,7,1.381178,2.495765,-115.0000,-31.5520
12,8,1.502671,2.424320,-116.9460,-48.8934
12,9,1.468914,2.484585,-116.9460,-68.3777
12,10,1.363300,2.523145,-116.9460,-77.4214
12,18,-0.202788,0.988191,60.2304,110.0950
12,19,-0.202788,0.988191,67.2072,110.0950
12,20,-0.202788,0.988191,83.9403,110.0950
12,21,-0.202788,0.988191,100.0545,110.0950
