moduleId/I, z_cm/D, r_cm/D, eta/D, phi/D, sensorSpacing_cm/D
50132, 4.394800, 23.814800, 0.183509, 0.392699, 0.259998
50133, 8.392580, 23.210400, 0.354138, 0.392699, 0.260000
50134, 12.968800, 23.814800, 0.520716, 0.392699, 0.259998
50135, 16.633200, 23.210400, 0.666235, 0.392699, 0.260000
50136, 21.327499, 23.814800, 0.805560, 0.392699, 0.259998
50137, 24.666901, 23.210400, 0.925057, 0.392699, 0.260000
50138, 29.476400, 23.814800, 1.039908, 0.392699, 0.259998
50139, 32.499001, 23.210400, 1.138093, 0.392699, 0.260000
50140, 37.420700, 23.814800, 1.233685, 0.392699, 0.259998
50141, 40.134399, 23.210400, 1.315510, 0.392699, 0.260000
50142, 45.165600, 23.814800, 1.396383, 0.392699, 0.259998
50143, 47.578201, 23.210400, 1.465716, 0.392699, 0.260000
50144, 52.716000, 23.814800, 1.535266, 0.392699, 0.259998
50145, 54.835098, 23.210400, 1.594927, 0.392699, 0.260000
50146, 60.076900, 23.814800, 1.655618, 0.392699, 0.259998
50147, 61.909801, 23.210400, 1.707644, 0.392699, 0.260000
50148, 67.252998, 23.814800, 1.761271, 0.392699, 0.259998
50149, 68.806900, 23.210400, 1.807156, 0.392699, 0.260000
50150, 74.249001, 23.814800, 1.855044, 0.392699, 0.259998
50151, 75.530800, 23.210400, 1.895900, 0.392699, 0.260000
50152, 81.069298, 23.814800, 1.939051, 0.392699, 0.259998
50153, 82.085899, 23.210400, 1.975727, 0.392699, 0.260000
50154, 87.718399, 23.814800, 2.014909, 0.392699, 0.259998
50155, 88.476501, 23.210400, 2.048061, 0.392699, 0.260000
50156, 94.200600, 23.814800, 2.083875, 0.392699, 0.259998
50157, 94.706703, 23.210400, 2.114020, 0.392699, 0.260000
50158, 100.519997, 23.814800, 2.146942, 0.392699, 0.259998
50159, 100.779999, 23.210400, 2.174491, 0.392699, 0.260000
50160, 106.681000, 23.814800, 2.204915, 0.392699, 0.259998
50161, 106.702003, 23.210400, 2.230211, 0.392699, 0.260000
50162, 112.686996, 23.814800, 2.258437, 0.392699, 0.259998
50200, -112.686996, 21.972200, -2.337355, 0.785398, 0.259998
50201, -106.702003, 21.367800, -2.311180, 0.785398, 0.260000
50202, -106.681000, 21.972200, -2.283652, 0.785398, 0.259998
50203, -100.780998, 21.367800, -2.255265, 0.785398, 0.260000
50204, -100.521004, 21.972200, -2.225472, 0.785398, 0.259998
50205, -94.707397, 21.367800, -2.194544, 0.785398, 0.260000
50206, -94.201401, 21.972200, -2.162136, 0.785398, 0.259998
50207, -88.477501, 21.367800, -2.128283, 0.785398, 0.260000
50208, -87.719597, 21.972200, -2.092843, 0.785398, 0.259998
50209, -82.087196, 21.367800, -2.055569, 0.785398, 0.260000
50210, -81.070702, 21.972200, -2.016568, 0.785398, 0.259998
50211, -75.532303, 21.367800, -1.975255, 0.785398, 0.260000
50212, -74.250702, 21.972200, -1.932023, 0.785398, 0.259998
50213, -68.808701, 21.367800, -1.885873, 0.785398, 0.260000
50214, -67.255096, 21.972200, -1.837536, 0.785398, 0.259998
50215, -61.911900, 21.367800, -1.785505, 0.785398, 0.260000
50216, -60.079300, 21.972200, -1.730910, 0.785398, 0.259998
50217, -54.837502, 21.367800, -1.671599, 0.785398, 0.260000
50218, -52.718700, 21.972200, -1.609183, 0.785398, 0.259998
50219, -47.581001, 21.367800, -1.540679, 0.785398, 0.260000
50220, -45.168598, 21.972200, -1.468278, 0.785398, 0.259998
50221, -40.137600, 21.367800, -1.387900, 0.785398, 0.260000
50222, -37.424099, 21.972200, -1.302466, 0.785398, 0.259998
50223, -32.502499, 21.367800, -1.206409, 0.785398, 0.260000
50224, -29.480200, 21.972200, -1.103625, 0.785398, 0.259998
50225, -24.670799, 21.367800, -0.986567, 0.785398, 0.260000
50226, -21.331600, 21.972200, -0.860607, 0.785398, 0.259998
50227, -16.637400, 21.367800, -0.715886, 0.785398, 0.260000
50228, -12.973300, 21.972200, -0.560611, 0.785398, 0.259998
50229, -8.397160, 21.367800, -0.383511, 0.785398, 0.260000
50230, -4.399700, 21.972200, -0.198925, 0.785398, 0.259998
50231, 0.055278, 21.367800, 0.002587, 0.785398, 0.260000
50232, 4.394800, 21.972200, 0.198706, 0.785398, 0.259998
50233, 8.392580, 21.367800, 0.383312, 0.785398, 0.260000
50234, 12.968800, 21.972200, 0.560435, 0.785398, 0.259998
50235, 16.633200, 21.367800, 0.715731, 0.785398, 0.260000
