0	000000	2.25463	8.33559	2.77458	8.53096	6.24178	25.787
1	000000	31.5273	95.5262	2.5892	8.22759	80.6946	284.367
0	000001	2.06505	7.66078	2.50248	8.05275	5.16775	20.614
1	000001	26.8244	84.2132	2.26759	6.64705	60.8269	212.008
0	000010	2.1374	7.93213	2.57352	8.21747	5.50065	22.2236
1	000010	27.3832	85.6891	2.32292	6.77457	63.3882	226.775
0	000011	1.98243	7.41227	2.34392	6.77705	4.64666	18.3903
1	000011	24.3635	77.5324	2.08084	6.13619	50.6967	175.342
0	000100	2.13688	7.97379	2.57328	8.18026	5.509	22.1262
1	000100	27.5049	86.0932	2.34253	6.79362	64.1632	222.157
0	000101	1.97939	7.41439	2.32876	6.71377	4.60953	18.5212
1	000101	24.4346	76.922	2.08808	6.1029	51.0215	176.436
0	000110	2.04896	7.69626	2.39459	6.90717	4.90643	19.3707
1	000110	24.9603	79.5367	2.13186	6.28739	53.2532	185.131
0	000111	1.90843	7.15254	2.18387	6.36719	4.16775	16.5495
1	000111	22.9233	73.0618	1.93948	4.93397	44.4593	153.405
0	001000	2.15567	7.97819	2.60213	8.25527	5.62058	23.0019
1	001000	28.1464	87.5367	2.39895	6.90778	67.5216	237.842
0	001001	1.9893	7.38886	2.36109	6.81745	4.69693	18.8108
1	001001	24.8177	78.0023	2.12716	6.31687	52.7912	185.436
0	001010	2.05922	7.67721	2.41484	6.96234	4.97269	19.9557
1	001010	25.2985	81.0788	2.16984	6.43168	54.8936	197.256
0	001011	1.91338	7.10553	2.21025	6.4796	4.22906	16.7818
1	001011	23.0603	72.9525	1.96835	4.98321	45.3906	156.675
0	001100	2.05992	7.73047	2.42082	6.9611	4.98669	20.146
1	001100	25.4423	81.1558	2.18782	6.47136	55.6633	196.756
0	001101	1.91182	7.10028	2.20378	6.43291	4.21324	16.881
1	001101	23.168	73.5583	1.9765	4.99503	45.7916	159.762
0	001110	1.97895	7.441	2.25505	6.63362	4.46265	17.6681
1	001110	23.6235	76.122	2.00941	5.63622	47.4693	167.561
0	001111	1.84407	6.85846	2.06437	6.01949	3.80685	15.175
1	001111	21.9824	69.8017	1.8444	4.82635	40.5443	140.254
0	010000	2.1301	7.91425	2.57484	8.21136	5.50926	22.2393
1	010000	28.0639	86.3607	2.39146	6.8825	66.4982	235.593
0	010001	1.96356	7.30078	2.33199	6.75008	4.57901	18.2881
1	010001	24.6144	76.8974	2.11455	6.24914	52.0484	176.61
0	010010	2.02905	7.60809	2.38848	6.9299	4.84633	19.5012
1	010010	25.1172	79.3361	2.16009	6.3997	54.2556	190.293
0	010011	1.88729	7.00583	2.18468	6.42595	4.12314	16.3586
1	010011	22.8026	72.0707	1.95153	4.95174	44.5	154.007
0	010100	2.03009	7.62523	2.39235	6.88987	4.85668	19.521
1	010100	25.2445	79.2525	2.17892	6.4029	54.746	190.137
0	010101	1.88608	6.99648	2.173	6.34797	4.09844	16.4173
1	010101	22.91	72.2241	1.96045	4.95619	44.914	152.436
0	010110	1.94947	7.32688	2.22791	6.5712	4.34325	17.2321
1	010110	23.3671	75.0021	1.99862	5.10859	46.7019	163.007
0	010111	1.81929	6.77036	2.03815	5.6	3.70797	14.5672
1	010111	21.6966	69.1306	1.82624	4.78476	39.6232	136.605
0	011000	2.04809	7.65262	2.42945	6.95754	4.97574	20.3085
1	011000	25.7285	80.6281	2.22511	6.54899	57.2487	201.61
0	011001	1.89695	7.00029	2.21006	6.44655	4.19236	16.7414
1	011001	23.1688	72.2327	1.99441	5.25531	46.2082	159.186
0	011010	1.95956	7.33525	2.25567	6.63191	4.42012	17.7221
1	011010	23.6327	75.27	2.03048	6.02233	47.9856	170.41
0	011011	1.8252	6.7784	2.06933	6.05195	3.77694	14.5868
1	011011	21.8059	68.7327	1.8534	4.83817	40.4151	139.005
0	011100	1.96217	7.38005	2.26007	6.60713	4.43465	17.9385
1	011100	23.7746	76.0022	2.04421	6.035	48.6003	171.864
0	011101	1.82546	6.78333	2.06288	5.84929	3.76572	14.6625
1	011101	21.931	69.5016	1.86157	4.84421	40.8261	141.146
0	011110	1.88582	7.05785	2.10777	6.23682	3.97487	16.0377
1	011110	22.352	71.225	1.88979	4.89267	42.2406	148.505
0	011111	1.76085	6.51776	1.93288	4.90776	3.40351	13.0144
1	011111	20.9305	66.3354	1.74038	4.65763	36.4271	124.55
0	100000	2.00974	7.45754	2.54278	8.17743	5.14514	20.1201
1	100000	27.4983	85.0618	2.38606	6.87663	65.0077	226.307
0	100001	1.84964	6.86365	2.30617	6.70873	4.26559	16.7653
1	100001	24.0117	74.8537	2.10272	6.1676	50.4897	170.436
0	100010	1.91564	7.15733	2.36186	6.86042	4.52448	17.9385
1	100010	24.5056	76.2658	2.1533	6.35512	52.768	182.293
0	100011	1.77911	6.67973	2.15906	6.27213	3.8412	14.8361
1	100011	22.1987	70.519	1.94191	4.93139	43.1079	148.277
0	100100	1.91686	7.16257	2.37374	6.89305	4.55013	18.0818
1	100100	24.6245	77.3781	2.1684	6.37128	53.0942	181.02
0	100101	1.77737	6.64944	2.15657	6.29125	3.83303	14.8007
1	100101	22.2759	70.835	1.95045	4.94351	43.448	149.01
0	100110	1.84086	6.92665	2.20999	6.49402	4.06827	16.2405
1	100110	22.7402	72.2241	1.9872	4.98985	45.1893	154.897
0	100111	1.71432	6.43184	2.02019	4.98603	3.46326	13.1478
1	100111	21.1002	67.8766	1.81724	4.76898	38.3441	130.937
0	101000	1.93043	7.1678	2.39573	6.93002	4.63606	18.3691
